icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
M84378A,"Stress fracture, left toe(s), initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84378D,"Stress fracture, left toe(s), subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84378G,"Stress fracture, left toe(s), subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84378K,"Stress fracture, left toe(s), subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84378P,"Stress fracture, left toe(s), subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84378S,"Stress fracture, left toe(s), sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84379A,"Stress fracture, unspecified toe(s), initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84379D,"Stress fracture, unspecified toe(s), subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84379G,"Stress fracture, unspecified toe(s), subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84379K,"Stress fracture, unspecified toe(s), subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84379P,"Stress fracture, unspecified toe(s), subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84379S,"Stress fracture, unspecified toe(s), sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M8438XA,"Stress fracture, other site, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M8438XD,"Stress fracture, other site, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M8438XG,"Stress fracture, other site, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M8438XK,"Stress fracture, other site, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M8438XP,"Stress fracture, other site, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M8438XS,"Stress fracture, other site, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M8440XA,"Pathological fracture, unspecified site, initial encounter for fracture",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter", , , , , , , , , , 
M8440XD,"Pathological fracture, unspecified site, subsequent encounter for fracture with routine healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M8440XG,"Pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M8440XK,"Pathological fracture, unspecified site, subsequent encounter for fracture with nonunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M8440XP,"Pathological fracture, unspecified site, subsequent encounter for fracture with malunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M8440XS,"Pathological fracture, unspecified site, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84411A,"Pathological fracture, right shoulder, initial encounter for fracture",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter", , , , , , , , , , 
M84411D,"Pathological fracture, right shoulder, subsequent encounter for fracture with routine healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84411G,"Pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84411K,"Pathological fracture, right shoulder, subsequent encounter for fracture with nonunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84411P,"Pathological fracture, right shoulder, subsequent encounter for fracture with malunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84411S,"Pathological fracture, right shoulder, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84412A,"Pathological fracture, left shoulder, initial encounter for fracture",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter", , , , , , , , , , 
M84412D,"Pathological fracture, left shoulder, subsequent encounter for fracture with routine healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84412G,"Pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84412K,"Pathological fracture, left shoulder, subsequent encounter for fracture with nonunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84412P,"Pathological fracture, left shoulder, subsequent encounter for fracture with malunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84412S,"Pathological fracture, left shoulder, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84419A,"Pathological fracture, unspecified shoulder, initial encounter for fracture",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter", , , , , , , , , , 
M84419D,"Pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84419G,"Pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84419K,"Pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84419P,"Pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84419S,"Pathological fracture, unspecified shoulder, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84421A,"Pathological fracture, right humerus, initial encounter for fracture",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter", , , , , , , , , , 
M84421D,"Pathological fracture, right humerus, subsequent encounter for fracture with routine healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84421G,"Pathological fracture, right humerus, subsequent encounter for fracture with delayed healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84421K,"Pathological fracture, right humerus, subsequent encounter for fracture with nonunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84421P,"Pathological fracture, right humerus, subsequent encounter for fracture with malunion",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
M84421S,"Pathological fracture, right humerus, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84422A,"Pathological fracture, left humerus, initial encounter for fracture",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter",MUS014,"Pathological fracture, initial encounter", , , , , , , , , , 
M84422D,"Pathological fracture, left humerus, subsequent encounter for fracture with routine healing",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter",MUS015,"Pathological fracture, subsequent encounter", , , , , , , , , , 
